Transaction_ID,Date,Transaction_Type,Category,Item_Description,Amount_Raw,Tax_Amount,Total_Amount,Payment_Method,Payment_Status,Vendor_Supplier,Priority_Level
43,2025-05-04,Expense,Stock Purchase,Wholesale purchase,112539.51,20257.1118,132796.6218,Cash,Paid,Ali Traders,Low
44,2025-12-06,Expense,Stock Purchase,Inventory restock,91550.5,16479.09,108029.59,EasyPaisa,Paid,Foodpanda,Low
45,2025-06-11,Income,Services,Web development fee,14186.73,2553.6114,16740.341399999998,Cash,Pending,Retail Client,Low
46,2025-06-04,Income,Services,Web development fee,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Online Sale,Low
47,2025-09-03,Expense,Electricity Bill,K-Electric Bill,22234.46,4002.2028,26236.6628,Check,Paid,K-Electric,Low
48,2025-03-19,Income,Refunds,Customer refund,38339.95,6901.190999999999,45241.141,Check,Paid,Online Sale,Low
49,2025-08-08,Expense,Marketing,Leaflet printing,8473.18,1525.1724,9998.3524,Bank Transfer,Pending,JazzCash,Low
50,2025-10-10,Income,Services,Cleaning service charge,29893.65,5380.857,35274.507,EasyPaisa,Pending,Online Sale,Low
51,2025-12-18,Income,Refunds,Return payment,11628.07,2093.0526,13721.1226,Bank Transfer,Paid,Retail Client,Low
52,2025-10-19,Expense,Stock Purchase,Inventory restock,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Metro Karachi,Low
53,2025-06-15,Expense,Rent,Office rent payment,71797.93,12923.627399999998,84721.55739999999,EasyPaisa,Paid,Ali Traders,High
54,2025-09-23,Expense,Electricity Bill,Power bill,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Paid,Foodpanda,Low
55,2025-03-24,Expense,Stock Purchase,Raw materials,100942.4,18169.632,119112.032,Cash,Paid,Foodpanda,Low
56,2025-08-13,Expense,Rent,Warehouse rent,41964.87,7553.6766,49518.5466,Cash,Pending,Metro Karachi,High
57,2025-02-28,Expense,Rent,Shop rent March,44593.08,8026.7544,52619.8344,Check,Pending,Daraz,High
58,2025-07-16,Income,Services,Cleaning service charge,42793.41,7702.8138,50496.22380000001,Cash,Paid,Retail Client,Low
59,2025-12-04,Expense,Maintenance,Furniture repair,17911.07,3223.9926,21135.0626,Check,Paid,Metro Karachi,Low
60,2025-12-24,Income,Interest,Profit on savings,37362.91,6725.3238,44088.2338,Check,Paid,Consulting Fee,Low
61,2025-03-19,Expense,Rent,Warehouse rent,46599.74,8387.9532,54987.6932,Cash,Paid,Foodpanda,High
62,2025-07-29,Income,Sales,Consulting income,19310.47,3475.8846,22786.3546,Cash,Pending,Consulting Fee,Low
63,2025-05-28,Income,Sales,Product sale,39909.1,7183.638,47092.738,Check,Pending,Retail Client,Low
64,2025-04-03,Income,Services,Cleaning service charge,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Pending,Online Sale,Low
65,2025-01-05,Expense,Electricity Bill,K-Electric Bill,11911.31,2144.0358,14055.3458,Check,Paid,JazzCash,Low
66,2025-07-16,Expense,Rent,Shop rent March,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,SSGC,High
67,2025-10-17,Income,Interest,Bank interest,17939.89,3229.1802,21169.0702,Bank Transfer,Paid,Retail Client,Low
68,2025-06-08,Expense,Rent,Warehouse rent,75481.39,13586.6502,89068.0402,Bank Transfer,Paid,Daraz,High
69,2025-07-07,Expense,Maintenance,Furniture repair,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,SSGC,Low
70,2025-04-26,Expense,Maintenance,AC repair,1682.01,302.7618,1984.7718,EasyPaisa,Paid,Foodpanda,Low
71,2025-11-23,Expense,Rent,Shop rent March,74211.74,13358.1132,87569.85320000001,Bank Transfer,Paid,Zong,High
72,2025-12-25,Expense,Transport,Vehicle maintenance,7351.01,1323.1818,8674.1918,Check,Paid,Salaried Staff,Low
73,2025-12-02,Income,Interest,Bank interest,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Pending,Retail Client,Low
74,2025-08-21,Income,Services,Web development fee,12556.66,2260.1988,14816.8588,Cash,Paid,Online Sale,Low
75,2025-04-30,Expense,Maintenance,AC repair,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Pending,Metro Karachi,Low
77,2025-07-05,Income,Interest,Bank interest,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Retail Client,Low
78,2025-07-25,Expense,Refunds,Fuel charges,7209.87,1297.7766,8507.6466,Bank Transfer,Paid,Careem,Low
79,2025-10-08,Expense,Stock Purchase,Inventory restock,75925.91,13666.6638,89592.5738,Bank Transfer,Paid,K-Electric,Low
80,2025-08-21,Expense,Refunds,Inventory restock,106464.02,19163.5236,125627.5436,Check,Paid,Shell,Low
81,2025-02-19,Expense,Maintenance,AC repair,28517.73,5133.1914,33650.9214,Check,Paid,K-Electric,Low
82,2025-01-27,Expense,Marketing,Billboard rent,22759.44,4096.6992,26856.1392,Bank Transfer,Paid,Foodpanda,Low
83,2025-02-28,Expense,Marketing,Billboard rent,39109.13,7039.643399999999,46148.7734,Cash,Paid,Zong,Low
84,2025-01-15,Income,Refunds,Return payment,9479.58,1706.3244,11185.9044,Bank Transfer,Paid,Consulting Fee,Low
85,2025-09-29,Income,Interest,Bank interest,31082.99,5594.9382000000005,36677.9282,Check,Paid,Retail Client,Low
86,2025-05-20,Income,Sales,Service revenue,34071.79,6132.9222,40204.7122,Bank Transfer,Paid,Retail Client,Low
87,2025-04-15,Expense,Salaries,Monthly payroll,123996.87,22319.4366,146316.30659999998,Bank Transfer,Paid,Daraz,Low
88,2025-10-14,Expense,Rent,Office rent payment,58787.96,10581.8328,69369.7928,Check,Paid,Salaried Staff,High
89,2025-03-29,Expense,Maintenance,AC repair,6187.29,1113.7122,7301.0022,Cash,Paid,Daraz,Low
90,2025-06-20,Income,Sales,Consulting income,45343.18,8161.7724,53504.9524,Bank Transfer,Paid,Online Sale,Low
91,2025-03-20,Income,Services,Cleaning service charge,39918.32,7185.2976,47103.6176,Bank Transfer,Paid,Retail Client,Low
92,2025-05-27,Income,Sales,Consulting income,7967.62,1434.1716,9401.7916,EasyPaisa,Paid,Customer Payment,Low
93,2025-01-21,Income,Interest,Profit on savings,5178.04,932.0472,6110.0872,EasyPaisa,Pending,Retail Client,Low
94,2025-03-18,Expense,Rent,Shop rent March,62802.74,11304.4932,74107.2332,Cash,Paid,Shell,High
95,2025-03-07,Income,Interest,Bank interest,9423.01,1696.1418,11119.1518,Bank Transfer,Paid,Consulting Fee,Low
96,2025-02-21,Income,Refunds,Return payment,9451.88,1701.3384,11153.2184,Check,Paid,Online Sale,Low
97,2025-08-16,Expense,Maintenance,AC repair,40261.7,7247.105999999999,47508.806,Cash,Paid,SSGC,Low
98,2025-02-22,Income,Refunds,Customer refund,45312.66,8156.2788,53468.9388,Cash,Paid,Consulting Fee,Low
99,2025-06-28,Income,Refunds,Profit on savings,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Retail Client,Low
100,2025-11-29,Expense,Maintenance,AC repair,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Shell,Low
101,2025-05-12,Income,Services,Cleaning service charge,41916.04,7544.8872,49460.9272,Bank Transfer,Paid,Customer Payment,Low
102,2025-06-30,Income,Interest,Bank interest,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Customer Payment,Low
103,2025-07-11,Expense,Transport,Fuel charges,5827.23,1048.9014,6876.131399999999,Cash,Paid,JazzCash,Low
104,2025-01-23,Expense,Marketing,Leaflet printing,32269.99,5808.5982,38078.5882,Bank Transfer,Paid,Salaried Staff,Low
105,2025-08-23,Income,Refunds,Customer refund,44346.62,7982.3916,52329.011600000005,Check,Paid,Retail Client,Low
106,2025-11-28,Income,Refunds,Customer refund,16930.27,3047.4486,19977.7186,Check,Paid,Retail Client,Low
107,2025-07-17,Expense,Salaries,Part-time wages,120519.58,21693.5244,142213.1044,EasyPaisa,Paid,SSGC,Low
108,2025-08-16,Expense,Refunds,Wholesale purchase,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,SSGC,Low
109,2025-12-14,Income,Sales,Consulting income,22189.55,3994.119,26183.669,Bank Transfer,Pending,Online Sale,Low
110,2025-03-20,Expense,Electricity Bill,KE invoice,16478.44,2966.1192,19444.5592,EasyPaisa,Paid,Daraz,Low
111,2025-04-06,Expense,Marketing,Facebook ads,20821.49,3747.8682,24569.3582,Cash,Pending,Foodpanda,Low
112,2025-12-08,Expense,Transport,Vehicle maintenance,13478.64,2426.1552,15904.7952,Bank Transfer,Paid,Salaried Staff,Low
113,2025-04-13,Income,Services,Cleaning service charge,36084.05,6495.129,42579.179,Bank Transfer,Paid,Consulting Fee,Low
115,2025-04-26,Expense,Marketing,Facebook ads,27227.0,4900.86,32127.86,EasyPaisa,Pending,Shell,Low
116,2025-10-31,Income,Services,Web development fee,1904.49,342.8082,2247.2982,Bank Transfer,Paid,Retail Client,Low
117,2025-09-12,Expense,Transport,Fuel charges,12302.89,2214.5202,14517.410199999998,Cash,Paid,Foodpanda,Low
118,2025-08-26,Income,Refunds,Return payment,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Retail Client,Low
119,2025-06-13,Income,Interest,Profit on savings,7473.44,1345.2191999999998,8818.6592,Check,Paid,Consulting Fee,Low
120,2025-06-17,Expense,Salaries,Monthly payroll,193363.02,34805.3436,228168.3636,Cash,Paid,Foodpanda,Low
121,2025-05-04,Income,Refunds,Customer refund,30077.18,5413.8924,35491.0724,EasyPaisa,Paid,Consulting Fee,Low
122,2025-05-16,Expense,Maintenance,AC repair,5737.39,1032.7302,6770.1202,EasyPaisa,Paid,Careem,Low
123,2025-09-14,Income,Sales,Product sale,40296.31,7253.335799999999,47549.6458,Bank Transfer,Paid,Online Sale,Low
124,2025-11-12,Expense,Marketing,Leaflet printing,23631.89,4253.7402,27885.6302,Check,Paid,SSGC,Low
125,2025-08-02,Expense,Maintenance,Furniture repair,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Zong,Low
127,2025-09-14,Expense,Maintenance,AC repair,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Foodpanda,Low
128,2025-06-25,Expense,Transport,Vehicle maintenance,14402.72,2592.4896,16995.2096,Bank Transfer,Paid,SSGC,Low
129,2025-12-27,Income,Interest,Profit on savings,46718.17,8409.2706,55127.4406,EasyPaisa,Paid,Retail Client,Low
130,2025-07-22,Expense,Maintenance,Furniture repair,47810.37,8605.8666,56416.2366,EasyPaisa,Paid,Foodpanda,Low
131,2025-05-19,Expense,Salaries,Part-time wages,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Metro Karachi,Low
132,2025-08-30,Income,Services,Web development fee,46784.09,8421.136199999999,55205.2262,Bank Transfer,Paid,Consulting Fee,Low
133,2025-01-31,Income,Services,Web development fee,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Customer Payment,Low
134,2025-05-29,Income,Sales,Consulting income,46458.51,8362.5318,54821.041800000006,Check,Paid,Consulting Fee,Low
135,2025-05-20,Income,Sales,Product sale,32590.12,5866.2216,38456.3416,EasyPaisa,Paid,Customer Payment,Low
136,2025-03-31,Expense,Maintenance,Furniture repair,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,SSGC,Low
137,2025-12-08,Income,Interest,Bank interest,25374.76,4567.4568,29942.2168,Cash,Paid,Retail Client,Low
138,2025-04-24,Income,Services,Cleaning service charge,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Pending,Customer Payment,Low
139,2025-10-02,Income,Services,Cleaning service charge,10667.37,1920.1266,12587.4966,Check,Paid,Customer Payment,Low
140,2025-08-22,Income,Interest,Bank interest,40914.43,7364.5974,48279.0274,Cash,Paid,Customer Payment,Low
141,2025-01-31,Income,Interest,Profit on savings,38564.12,6941.5416000000005,45505.66160000001,EasyPaisa,Pending,Consulting Fee,Low
142,2025-07-13,Expense,Rent,Warehouse rent,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Daraz,High
143,2025-01-12,Expense,Stock Purchase,Raw materials,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,Salaried Staff,Low
144,2025-10-04,Income,Sales,Consulting income,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Paid,Retail Client,Low
145,2025-09-24,Income,Interest,Profit on savings,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Online Sale,Low
146,2025-11-26,Expense,Maintenance,Furniture repair,15694.54,2825.0172,18519.557200000003,Check,Pending,Metro Karachi,Low
147,2025-03-15,Expense,Rent,Shop rent March,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Careem,High
148,2025-07-13,Income,Sales,Consulting income,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Paid,Retail Client,Low
149,2025-03-02,Expense,Salaries,Monthly payroll,210415.86,37874.8548,248290.7148,Check,Paid,Daraz,Low
150,2025-09-20,Expense,Stock Purchase,Wholesale purchase,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Paid,Careem,Low
151,2025-03-16,Income,Refunds,Return payment,47201.49,8496.268199999999,55697.7582,Check,Paid,Consulting Fee,Low
152,2025-03-13,Expense,Salaries,Part-time wages,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,JazzCash,Low
153,2025-04-29,Income,Refunds,Web development fee,18973.43,3415.2174,22388.6474,Check,Paid,Consulting Fee,Low
154,2025-01-09,Expense,Marketing,Facebook ads,29425.07,5296.5126,34721.5826,Cash,Paid,Shell,Low
155,2025-11-14,Expense,Maintenance,Furniture repair,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Pending,Foodpanda,Low
156,2025-02-11,Income,Sales,Consulting income,25242.99,4543.7382,29786.7282,Cash,Paid,Retail Client,Low
157,2025-12-21,Expense,Electricity Bill,K-Electric Bill,10607.46,1909.3428,12516.8028,Bank Transfer,Paid,JazzCash,Low
158,2025-04-17,Income,Interest,Profit on savings,12403.37,2232.6066,14635.976600000002,EasyPaisa,Paid,Consulting Fee,Low
159,2025-12-19,Income,Refunds,Customer refund,42014.4,7562.592,49576.992,EasyPaisa,Pending,Consulting Fee,Low
160,2025-09-09,Income,Refunds,Customer refund,19310.0,3475.8,22785.8,Bank Transfer,Paid,Online Sale,Low
161,2025-06-07,Expense,Electricity Bill,K-Electric Bill,8747.84,1574.6112,10322.4512,Check,Paid,Metro Karachi,Low
162,2025-11-02,Expense,Maintenance,Furniture repair,8150.81,1467.1458,9617.9558,Check,Paid,SSGC,Low
163,2025-05-07,Expense,Marketing,Billboard rent,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Careem,Low
164,2025-11-30,Income,Refunds,Customer refund,9293.04,1672.7472,10965.7872,EasyPaisa,Paid,Retail Client,Low
165,2025-05-05,Expense,Stock Purchase,Inventory restock,141168.73,25410.3714,166579.1014,Bank Transfer,Paid,Metro Karachi,Low
166,2025-08-25,Income,Interest,Bank interest,39885.01,7179.3018,47064.3118,Bank Transfer,Pending,Consulting Fee,Low
167,2025-08-05,Expense,Rent,Shop rent March,70614.85,12710.673,83325.523,Cash,Paid,K-Electric,High
168,2025-11-28,Income,Interest,Profit on savings,5381.02,968.5836,6349.6036,Check,Paid,Online Sale,Low
169,2025-12-20,Income,Refunds,Return payment,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Customer Payment,Low
170,2025-09-24,Expense,Electricity Bill,Power bill,14241.08,2563.3944,16804.4744,Bank Transfer,Paid,JazzCash,Low
171,2025-11-11,Income,Interest,Profit on savings,23148.75,4166.775,27315.525,EasyPaisa,Paid,Consulting Fee,Low
172,2025-06-28,Expense,Maintenance,AC repair,21493.72,3868.8696,25362.5896,Check,Paid,Daraz,Low
173,2025-11-27,Income,Services,Cleaning service charge,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Consulting Fee,Low
174,2025-09-08,Income,Sales,Product sale,14105.22,2538.9396,16644.1596,Check,Paid,Online Sale,Low
175,2025-09-19,Income,Sales,Consulting income,18659.66,3358.7388,22018.3988,Check,Paid,Customer Payment,Low
176,2025-12-01,Income,Refunds,Return payment,43178.88,7772.198399999999,50951.0784,Bank Transfer,Paid,Customer Payment,Low
178,2025-05-30,Expense,Marketing,Leaflet printing,28775.48,5179.5864,33955.0664,Cash,Pending,Daraz,Low
179,2025-03-09,Income,Services,Web development fee,95449.50910461828,17180.91163883129,112630.42074344956,Check,Pending,Retail Client,Low
180,2025-02-17,Expense,Marketing,Leaflet printing,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,Careem,Low
181,2025-08-23,Expense,Maintenance,Furniture repair,22052.51,3969.4518,26021.9618,EasyPaisa,Paid,SSGC,Low
182,2025-10-17,Expense,Maintenance,AC repair,31682.8,5702.904,37385.704,Cash,Paid,Ali Traders,Low
183,2025-08-08,Income,Services,Web development fee,43891.45,7900.460999999999,51791.91099999999,EasyPaisa,Paid,Retail Client,Low
184,2025-01-27,Expense,Refunds,Vehicle maintenance,4278.01,770.0418,5048.0518,Cash,Paid,Salaried Staff,Low
185,2025-04-26,Expense,Rent,Warehouse rent,36029.69,6485.3442000000005,42515.0342,Bank Transfer,Paid,Salaried Staff,High
186,2025-02-22,Income,Refunds,Return payment,38786.29,6981.5322,45767.8222,Bank Transfer,Paid,Online Sale,Low
187,2025-03-26,Expense,Electricity Bill,Power bill,23397.88,4211.6184,27609.4984,Bank Transfer,Pending,Foodpanda,Low
188,2025-10-29,Expense,Electricity Bill,KE invoice,14991.65,2698.497,17690.147,Cash,Paid,Metro Karachi,Low
189,2025-10-19,Expense,Electricity Bill,KE invoice,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,K-Electric,Low
190,2025-07-23,Expense,Transport,Petrol for delivery,6470.24,1164.6432,7634.8832,Cash,Paid,JazzCash,Low
191,2025-05-03,Income,Refunds,Cleaning service charge,30808.69,5545.5642,36354.2542,Bank Transfer,Paid,Online Sale,Low
192,2025-09-12,Expense,Marketing,Facebook ads,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,Salaried Staff,Low
193,2025-05-20,Income,Refunds,Return payment,18326.13,3298.7034,21624.8334,EasyPaisa,Paid,Online Sale,Low
194,2025-12-12,Income,Services,Web development fee,1108.26,199.4868,1307.7468,Check,Pending,Retail Client,Low
196,2025-04-25,Income,Refunds,Profit on savings,38789.61,6982.1298,45771.7398,Check,Paid,Customer Payment,Low
197,2025-06-05,Income,Refunds,Profit on savings,38906.35,7003.142999999999,45909.493,Bank Transfer,Pending,Online Sale,Low
198,2025-06-27,Income,Refunds,Return payment,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Online Sale,Low
199,2025-12-31,Expense,Rent,Office rent payment,55987.96,10077.8328,66065.7928,Check,Pending,Careem,High
200,2025-03-10,Expense,Rent,Shop rent March,36535.41,6576.3738,43111.783800000005,Check,Paid,Careem,High
201,2025-05-20,Income,Sales,Product sale,29443.05,5299.749,34742.799,Check,Paid,Online Sale,Low
202,2025-04-17,Expense,Electricity Bill,K-Electric Bill,13087.84,2355.8112,15443.6512,Bank Transfer,Paid,Salaried Staff,Low
203,2025-03-04,Income,Sales,Product sale,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Paid,Customer Payment,Low
204,2025-04-12,Expense,Refunds,AC repair,41638.45,7494.920999999999,49133.371,Check,Paid,Ali Traders,Low
205,2025-07-22,Expense,Rent,Office rent payment,52300.57,9414.1026,61714.6726,Bank Transfer,Paid,Zong,High
206,2025-09-03,Income,Sales,Service revenue,10373.16,1867.1688,12240.3288,Cash,Paid,Online Sale,Low
207,2025-10-06,Expense,Refunds,KE invoice,5521.26,993.8268,6515.0868,EasyPaisa,Paid,Ali Traders,Low
208,2025-10-27,Income,Services,Web development fee,13693.09,2464.7562,16157.8462,Bank Transfer,Pending,Customer Payment,Low
209,2025-03-30,Income,Services,Cleaning service charge,1896.23,341.3214,2237.5514,Bank Transfer,Paid,Online Sale,Low
210,2025-10-05,Expense,Salaries,Monthly payroll,140292.88,25252.7184,165545.59840000002,Bank Transfer,Paid,Salaried Staff,Low
211,2025-01-12,Income,Services,Cleaning service charge,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,Consulting Fee,Low
212,2025-08-12,Expense,Transport,Petrol for delivery,8867.68,1596.1824,10463.8624,EasyPaisa,Paid,Zong,Low
213,2025-06-07,Expense,Salaries,Part-time wages,-7415.0,-1334.7,-8749.7,Cash,Paid,Zong,Low
214,2025-11-10,Income,Refunds,Service revenue,44323.35,7978.202999999999,52301.553,Check,Paid,Retail Client,Low
215,2025-06-29,Expense,Maintenance,AC repair,22472.79,4045.1022,26517.8922,Check,Paid,Shell,Low
216,2025-02-21,Expense,Maintenance,AC repair,40160.53,7228.895399999999,47389.4254,EasyPaisa,Paid,Ali Traders,Low
217,2025-07-12,Income,Sales,Service revenue,30875.41,5557.5738,36432.9838,Check,Pending,Customer Payment,Low
218,2025-03-22,Income,Sales,Product sale,20759.35,3736.683,24496.033,EasyPaisa,Paid,Retail Client,Low
219,2025-10-09,Expense,Salaries,Monthly payroll,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,JazzCash,Low
220,2025-05-30,Income,Interest,Profit on savings,23811.75,4286.115,28097.865,Cash,Paid,Retail Client,Low
222,2025-07-18,Expense,Refunds,Facebook ads,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Imtiaz Mall,Low
223,2025-04-14,Income,Refunds,Customer refund,95449.50910461828,17180.91163883129,112630.42074344956,Check,Paid,Retail Client,Low
224,2025-10-28,Expense,Rent,Warehouse rent,69287.28,12471.7104,81758.9904,Check,Paid,Careem,High
225,2025-08-31,Income,Services,Cleaning service charge,30628.44,5513.119199999999,36141.5592,Check,Paid,Customer Payment,Low
226,2025-09-01,Expense,Electricity Bill,KE invoice,11061.1,1990.998,13052.098,Cash,Pending,Foodpanda,Low
227,2025-08-15,Expense,Electricity Bill,K-Electric Bill,9989.81,1798.1657999999998,11787.9758,Bank Transfer,Pending,Careem,Low
228,2025-11-22,Income,Sales,Service revenue,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Paid,Consulting Fee,Low
229,2025-12-19,Income,Refunds,Return payment,42764.16,7697.5488,50461.70880000001,Bank Transfer,Paid,Online Sale,Low
230,2025-07-29,Income,Sales,Consulting income,95449.50910461828,17180.91163883129,112630.42074344956,Check,Pending,Retail Client,Low
231,2025-04-22,Expense,Electricity Bill,Power bill,22993.74,4138.8732,27132.6132,Check,Paid,Zong,Low
